geoid,year,measure,value,moe,Unnamed: 0,measure_type,measure_units,region_name,region_type
511990510002,2021,perc_income_min_price_25,0.566740157480315,,0,percent,,"Block Group 2, Census Tract 510, York County, Virginia",block group
516500115004,2021,perc_income_min_price_25,0.339042450963767,,1,percent,,"Block Group 4, Census Tract 115, Hampton city, Virginia",block group
517100043003,2021,perc_income_min_price_25,4.12611786287549,,2,percent,,"Block Group 3, Census Tract 43, Norfolk city, Virginia",block group
510594327021,2021,perc_income_min_price_25,0.33433978390732,,3,percent,,"Block Group 1, Census Tract 4327.02, Fairfax County, Virginia",block group
515102003032,2021,perc_income_min_price_25,2.60254555973387,,4,percent,,"Block Group 2, Census Tract 2003.03, Alexandria city, Virginia",block group
515102013002,2021,perc_income_min_price_25,0.198896859697797,,5,percent,,"Block Group 2, Census Tract 2013, Alexandria city, Virginia",block group
515102001052,2021,perc_income_min_price_25,0.623168831168831,,6,percent,,"Block Group 2, Census Tract 2001.05, Alexandria city, Virginia",block group
516003002003,2021,perc_income_min_price_25,0.270472582972583,,7,percent,,"Block Group 3, Census Tract 3002, Fairfax city, Virginia",block group
517100022001,2021,perc_income_min_price_25,0.298940897952403,,8,percent,,"Block Group 1, Census Tract 22, Norfolk city, Virginia",block group
510594811031,2021,perc_income_min_price_25,0.257734616706772,,9,percent,,"Block Group 1, Census Tract 4811.03, Fairfax County, Virginia",block group
510411004101,2021,perc_income_min_price_25,0.918272052256896,,10,percent,,"Block Group 1, Census Tract 1004.10, Chesterfield County, Virginia",block group
517100056022,2021,perc_income_min_price_25,0.809956787900612,,11,percent,,"Block Group 2, Census Tract 56.02, Norfolk city, Virginia",block group
510594713012,2021,perc_income_min_price_25,0.33601613415249,,12,percent,,"Block Group 2, Census Tract 4713.01, Fairfax County, Virginia",block group
510594822034,2021,perc_income_min_price_25,0.193759926777398,,13,percent,,"Block Group 4, Census Tract 4822.03, Fairfax County, Virginia",block group
518100462202,2021,perc_income_min_price_25,0.768596629861393,,14,percent,,"Block Group 2, Census Tract 462.20, Virginia Beach city, Virginia",block group
510594714011,2021,perc_income_min_price_25,0.204428488656116,,15,percent,,"Block Group 1, Census Tract 4714.01, Fairfax County, Virginia",block group
515500209042,2021,perc_income_min_price_25,0.376168077767325,,16,percent,,"Block Group 2, Census Tract 209.04, Chesapeake city, Virginia",block group
510594151001,2021,perc_income_min_price_25,0.197429272065963,,17,percent,,"Block Group 1, Census Tract 4151, Fairfax County, Virginia",block group
510594706001,2021,perc_income_min_price_25,0.191457101968942,,18,percent,,"Block Group 1, Census Tract 4706, Fairfax County, Virginia",block group
511539014082,2021,perc_income_min_price_25,0.727927344808754,,19,percent,,"Block Group 2, Census Tract 9014.08, Prince William County, Virginia",block group
518100444012,2021,perc_income_min_price_25,0.375254163060592,,20,percent,,"Block Group 2, Census Tract 444.01, Virginia Beach city, Virginia",block group
510594918011,2021,perc_income_min_price_25,0.415743446969259,,21,percent,,"Block Group 1, Census Tract 4918.01, Fairfax County, Virginia",block group
517600709003,2021,perc_income_min_price_25,0.972648648648649,,22,percent,,"Block Group 3, Census Tract 709, Richmond city, Virginia",block group
510594525021,2021,perc_income_min_price_25,0.256220765074008,,23,percent,,"Block Group 1, Census Tract 4525.02, Fairfax County, Virginia",block group
510872001231,2021,perc_income_min_price_25,0.70220487804878,,24,percent,,"Block Group 1, Census Tract 2001.23, Henrico County, Virginia",block group
516800005001,2021,perc_income_min_price_25,1.07126272548669,,25,percent,,"Block Group 1, Census Tract 5, Lynchburg city, Virginia",block group
511539014111,2021,perc_income_min_price_25,0.183118944883172,,26,percent,,"Block Group 1, Census Tract 9014.11, Prince William County, Virginia",block group
510131002004,2021,perc_income_min_price_25,0.143951424194303,,27,percent,,"Block Group 4, Census Tract 1002, Arlington County, Virginia",block group
511539009011,2021,perc_income_min_price_25,0.751174100899622,,28,percent,,"Block Group 1, Census Tract 9009.01, Prince William County, Virginia",block group
510594604002,2021,perc_income_min_price_25,0.238750124390487,,29,percent,,"Block Group 2, Census Tract 4604, Fairfax County, Virginia",block group
511410301005,2021,perc_income_min_price_25,1.81655751977893,,30,percent,,"Block Group 5, Census Tract 301, Patrick County, Virginia",block group
510872001124,2021,perc_income_min_price_25,0.806128620388415,,31,percent,,"Block Group 4, Census Tract 2001.12, Henrico County, Virginia",block group
517600210002,2021,perc_income_min_price_25,1.07044096220749,,32,percent,,"Block Group 2, Census Tract 210, Richmond city, Virginia",block group
510872004142,2021,perc_income_min_price_25,0.453786598744105,,33,percent,,"Block Group 2, Census Tract 2004.14, Henrico County, Virginia",block group
511770203081,2021,perc_income_min_price_25,0.26480261947684,,34,percent,,"Block Group 1, Census Tract 203.08, Spotsylvania County, Virginia",block group
510594802013,2021,perc_income_min_price_25,0.143951424194303,,35,percent,,"Block Group 3, Census Tract 4802.01, Fairfax County, Virginia",block group
517100002012,2021,perc_income_min_price_25,0.642161236215695,,36,percent,,"Block Group 2, Census Tract 2.01, Norfolk city, Virginia",block group
516500121003,2021,perc_income_min_price_25,0.405183575586305,,37,percent,,"Block Group 3, Census Tract 121, Hampton city, Virginia",block group
515900010001,2021,perc_income_min_price_25,2.58571633855439,,38,percent,,"Block Group 1, Census Tract 10, Danville city, Virginia",block group
517750101002,2021,perc_income_min_price_25,0.629524026098973,,39,percent,,"Block Group 2, Census Tract 101, Salem city, Virginia",block group
511539012121,2021,perc_income_min_price_25,0.482788226771485,,40,percent,,"Block Group 1, Census Tract 9012.12, Prince William County, Virginia",block group
517600110002,2021,perc_income_min_price_25,0.86478433257239,,41,percent,,"Block Group 2, Census Tract 110, Richmond city, Virginia",block group
517600305002,2021,perc_income_min_price_25,3.0845975829262,,42,percent,,"Block Group 2, Census Tract 305, Richmond city, Virginia",block group
515708301003,2021,perc_income_min_price_25,0.48981925087108,,43,percent,,"Block Group 3, Census Tract 8301, Colonial Heights city, Virginia",block group
515200201002,2021,perc_income_min_price_25,2.2363687202908,,44,percent,,"Block Group 2, Census Tract 201, Bristol city, Virginia",block group
510950803031,2021,perc_income_min_price_25,0.386261672212085,,45,percent,,"Block Group 1, Census Tract 803.03, James City County, Virginia",block group
517000321172,2021,perc_income_min_price_25,1.58321235317408,,46,percent,,"Block Group 2, Census Tract 321.17, Newport News city, Virginia",block group
515958902002,2021,perc_income_min_price_25,1.29733237202596,,47,percent,,"Block Group 2, Census Tract 8902, Emporia city, Virginia",block group
510872010012,2021,perc_income_min_price_25,0.500444988319057,,48,percent,,"Block Group 2, Census Tract 2010.01, Henrico County, Virginia",block group
515200202003,2021,perc_income_min_price_25,3.70706836616454,,49,percent,,"Block Group 3, Census Tract 202, Bristol city, Virginia",block group
510594913014,2021,perc_income_min_price_25,0.514820325017166,,50,percent,,"Block Group 4, Census Tract 4913.01, Fairfax County, Virginia",block group
518400003011,2021,perc_income_min_price_25,1.09157086960478,,51,percent,,"Block Group 1, Census Tract 3.01, Winchester city, Virginia",block group
516200901003,2021,perc_income_min_price_25,0.7942797556979,,52,percent,,"Block Group 3, Census Tract 901, Franklin city, Virginia",block group
518303702003,2021,perc_income_min_price_25,1.01589855409954,,53,percent,,"Block Group 3, Census Tract 3702, Williamsburg city, Virginia",block group
510131017022,2021,perc_income_min_price_25,0.285053465346535,,54,percent,,"Block Group 2, Census Tract 1017.02, Arlington County, Virginia",block group
510030107001,2021,perc_income_min_price_25,0.663079927773888,,55,percent,,"Block Group 1, Census Tract 107, Albemarle County, Virginia",block group
510411002101,2021,perc_income_min_price_25,0.582113452922052,,56,percent,,"Block Group 1, Census Tract 1002.10, Chesterfield County, Virginia",block group
517600111001,2021,perc_income_min_price_25,0.663373271889401,,57,percent,,"Block Group 1, Census Tract 111, Richmond city, Virginia",block group
516600002072,2021,perc_income_min_price_25,1.44309888523538,,58,percent,,"Block Group 2, Census Tract 2.07, Harrisonburg city, Virginia",block group
511076118022,2021,perc_income_min_price_25,0.190113947923105,,59,percent,,"Block Group 2, Census Tract 6118.02, Loudoun County, Virginia",block group
